job,company,city,salary,welfare,exp,edu,job_num,job_url,company_url
JAVA工程师 (MJ000896),傲基科技股份有限公司,深圳-龙岗区,1.5-2万/月,五险一金 交通补贴 绩效奖金 弹性工作 住宿 加班餐,2年经验,大专,招7人,https://jobs.51job.com/shenzhen-lgq/131593539.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2847020.html
Java高级开发工程师,广东利元亨智能装备股份有限公司,深圳-南山区,1.5-2万/月,五险一金 弹性工作 股票期权 绩效奖金 专业培训 员工旅游,3-4年经验,本科,招5人,https://jobs.51job.com/shenzhen-nsq/131865214.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coAWFUNVIyDzcBYVM3VzQ.html
Java高级软件工程师,广州市睿志信息科技有限公司,佛山-南海区,0.8-1万/月,,3-4年经验,本科,招4人,https://jobs.51job.com/foshan-nhq/111267298.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2833094.html
Java开发工程师,上海科领软件技术有限公司,上海-徐汇区,0.8-1.2万/月,五险一金 员工旅游 餐饮补贴 年终奖金,2年经验,大专,招若干人,https://jobs.51job.com/shanghai-xhq/119740362.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2961462.html
Java开发工程师,河南快客金融服务有限公司,郑州-郑东新区,1-1.5万/月,法定节假日 周末双休 做五休二 五险一金 通讯补贴 专业培训 年终奖金 定期体检,2年经验,本科,招2人,https://jobs.51job.com/zhengzhou-zzxq/115041430.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2571221.html
Java初级/高级工程师,成都知达沃思科技有限公司,异地招聘,1.5-3万/月,,3-4年经验,本科,招若干人,https://jobs.51job.com/beijing-hdq/131876375.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2539924.html
Java开发工程师,武汉亿量科技有限公司,武汉,1-1.5万/月,弹性工作 五险一金 带薪年假 绩效奖金 节日福利 员工旅游 单双休,3-4年经验,大专,招若干人,https://jobs.51job.com/wuhan/130952897.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5950280.html
Java工程师,维世致新（上海）智能技术有限公司,上海-浦东新区,1.5-2.5万/月,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 定期体检,3-4年经验,本科,招若干人,https://jobs.51job.com/shanghai-pdxq/131599588.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coA2MHZwVvAjkOb1EzUTM.html
Java高级开发工程师,创度软件科技（上海）有限公司,上海-闵行区,1.5-2万/月,五险一金 员工旅游 通讯补贴 餐饮补贴 年终奖金 交通补贴 加班补贴 专业培训 绩效奖金,5-7年经验,本科,招2人,https://jobs.51job.com/shanghai-mhq/131872676.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2943679.html
JAVA开发工程师（企业运维） (MJ001799),广州市钱大妈农产品有限公司,广州-海珠区,1.5-3万/月,,3-4年经验,本科,招1人,https://jobs.51job.com/guangzhou-hzq/131855906.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5840843.html
Java中级开发工程师,上海通天晓信息技术有限公司,上海-普陀区,1.5-2万/月,五险一金 补充医疗保险 员工旅游 出国机会 通讯补贴 定期体检 做五休二 带薪年假 出差补贴 节日福利,3-4年经验,大专,招1人,https://jobs.51job.com/shanghai-ptq/123977018.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2709332.html
JAVA开发工程师,同方股份有限公司,北京-海淀区,1.4-2.3万/月,五险一金 补充医疗保险 餐饮补贴 通讯补贴 专业培训 定期体检 绩效奖金,3-4年经验,本科,招1人,https://jobs.51job.com/beijing-hdq/124029774.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co111511.html
初级Java开发/助理（入职五险）,郑州大宇智慧网络科技有限公司,郑州-金水区,4.5-6千/月,做五休二 五险一金 绩效奖金 节日福利 通讯补贴,无需经验,大专,招5人,https://jobs.51job.com/jinshuiqu/130784731.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coCWldPQVgBTwFYARjBWY.html
Java开发工程师,广州万视智能科技有限责任公司,广州-白云区,1.2-1.8万/月,五险一金 员工旅游 弹性工作 绩效奖金,5-7年经验,本科,招2人,https://jobs.51job.com/guangzhou-byq/131858011.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5755110.html
Java后端开发工程师,南京金龙客车制造有限公司,南京-江宁区,1-1.5万/月,五险一金 免费班车 餐饮补贴 通讯补贴 包住宿 定期体检,3-4年经验,本科,招1人,https://jobs.51job.com/nanjing-jnq/116680047.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2711185.html

